TAN	3000	to brown in the sun [v -ED, -ING, -S]
TAO	700	the path of virtue [n -S]
TAP	2500	to strike gently [v -ED, -ING, -S]
TAR	2600	a dark sticky substance [n -S]
TARP	1100	a tarpaulin [n -S]
TAX	2400	a levy [n -S]
TEA	3300	a drink [n -S]
TEAL	1500	a duck [n -S]
TEAM	3000	a group [n -S]
TEAT	900	a nipple [n -S]
TEXT	3100	written words [n -S]
TIP	2500	to tilt [v -ED, -ING, -S]
TO	8900	toward [prep]
TOAD	1800	an amphibian [n -S]
TOAST	2200	browned bread [n -S]
TOP	2500	the highest part [n -S]
TOT	1500	a small child [n -S]
TRANQ	900	a tranquilizer [n -S]
TRAP	2400	a snare [n -S]
TUNA	1900	a large fish [n -S]
TUP	600	to butt, as a ram [v -ED, -ING, -S]
TWASOMES	200	plural of twasome [n]
UP	7000	aloft [adv] / to raise [v -ED, -ING, -S]
US	7900	we, as an object [pron]
VAGRANT	1200	a wanderer [n -S]
VAT	1400	a large vessel [n -S]
VAULTED	1100	arched [adj]
VENTRAL	900	of the belly [adj]
VERTIGO	1300	dizziness [n -S]
VET	1600	to examine [v -ED, -ING, -S]
VEX	1900	to annoy [v -ED, -ING, -ES]
VEXT	700	vexed [adj]
VINTAGE	1500	a harvest of wine [n -S]
VIOLATE	1400	to break [v -ED, -ING, -S]
VITAL	2000	essential [adj]
VITAMIN	1600	a nutrient [n -S]
XU	1800	a coin of Vietnam [n XU]
ZA	3200	a pizza [n -S]
ZAG	1300	to turn sharply [v -ED, -ING, -S]
ZANY	1500	a clown [n -S]
ZAP	1800	to destroy [v -ED, -ING, -S]
ZEA	900	a grain [n -S]
ZEALOTS	1100	plural of zealot [n]
ZEPPELIN	900	an airship [n -S]
ZETA	1500	a Greek letter [n -S]
ZIPPERS	1000	plural of zipper [n]
ZIT	1100	a pimple [n -S]
ZOA	1000	plural of zoon [n]
ZOO	2100	a park of animals [n -S]
